Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
G3TDE6	G3TDE6_LOXAF	CRK like proto-oncogene, adaptor protein	CRKL	Loxodonta africana (African elephant)	200	DOMAIN 20..80; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 132..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G3TKQ5	G3TKQ5_LOXAF	Engulfment and cell motility 1	ELMO1	Loxodonta africana (African elephant)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G3TYX5	G3TYX5_LOXAF	CRK proto-oncogene, adaptor protein	CRK	Loxodonta africana (African elephant)	307	DOMAIN 13..121; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 135..195; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 238..299; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G3V8H4	CBLC_RAT	E3 ubiquitin-protein ligase CBL-C (EC 2.3.2.27) (RING-type E3 ubiquitin transferase CBL-C)	Cblc Cbl-3	Rattus norvegicus (Rat)	497	DOMAIN 7..321; /note="Cbl-PTB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00839"
G3V982	G3V982_RAT	Engulfment and cell motility 2 (Engulfment and cell motility 2, ced-12 homolog (C. elegans), isoform CRA_b)	Elmo2 rCG_32210	Rattus norvegicus (Rat)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G3W7D0	G3W7D0_SARHA	Engulfment and cell motility 2	ELMO2	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	734	DOMAIN 325..499; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G3W7D1	G3W7D1_SARHA	Engulfment and cell motility 2	ELMO2	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	632	DOMAIN 223..397; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G3WCY3	G3WCY3_SARHA	Engulfment and cell motility 3	ELMO3	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G3Y7X9	G3Y7X9_ASPNA	ELMO domain-containing protein	ASPNIDRAFT_54759	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	697	DOMAIN 239..420; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G4MRL3	G4MRL3_MAGO7	ELMO/CED-12 family protein	MGG_09944	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)	744	DOMAIN 259..452; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G4TUD7	G4TUD7_SERID	Related to Engulfment and cell motility gene 1 protein	PIIN_08900	Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica)	793	DOMAIN 358..532; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G4U6L3	G4U6L3_NEUT9	ELMO domain-containing protein	NEUTE2DRAFT_154050	Neurospora tetrasperma (strain FGSC 2509 / P0656)	771	DOMAIN 262..475; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G4YPK0	G4YPK0_PHYSP	PH domain-containing protein	PHYSODRAFT_552030	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	824	DOMAIN 250..354; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 629..779; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G5B7Q7	G5B7Q7_HETGA	Engulfment and cell motility protein 2	GW7_06553	Heterocephalus glaber (Naked mole rat)	733	DOMAIN 324..498; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G5BCW2	G5BCW2_HETGA	Proto-oncogene C-crk	GW7_05101	Heterocephalus glaber (Naked mole rat)	378	DOMAIN 84..192; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 206..266; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 309..370; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G5C031	G5C031_HETGA	Crk-like protein	GW7_01813	Heterocephalus glaber (Naked mole rat)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G5C651	G5C651_HETGA	Engulfment and cell motility protein 3	GW7_02347	Heterocephalus glaber (Naked mole rat)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G5CJU6	G5CJU6_9CHLO	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rbcL	Codium sp. CRKR-2011	238	DOMAIN 2..112; /note="RuBisCO_large_N"; /evidence="ECO:0000259|Pfam:PF02788"; DOMAIN 126..238; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
G7DXA4	G7DXA4_MIXOS	ELMO domain-containing protein	Mo01870 E5Q_01870	Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)	1330	DOMAIN 932..1084; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G7NHL5	G7NHL5_MACMU	Proto-oncogene c-Crk	EGK_07979	Macaca mulatta (Rhesus macaque)	231	DOMAIN 59..119; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 162..223; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G7NQ49	G7NQ49_MACMU	Engulfment and cell motility protein 3	EGK_12885	Macaca mulatta (Rhesus macaque)	679	DOMAIN 266..438; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G7P0E8	G7P0E8_MACFA	Protein ced-12-like protein	EGM_12617	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G7PG35	G7PG35_MACFA	Engulfment and cell motility 2	ELMO2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	732	
G7PHA6	G7PHA6_MACFA	Apoptosis inducing factor mitochondria associated 3	AIFM3	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	303	
G7Q1D1	G7Q1D1_MACFA	Engulfment and cell motility protein 3	EGM_11838	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	676	DOMAIN 263..435; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G7XV68	G7XV68_ASPKW	ELMO/CED-12 family protein	AKAW_08941	Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi)	552	DOMAIN 94..275; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G7YA96	G7YA96_CLOSI	Proto-oncogene C-crk	CLF_103731	Clonorchis sinensis (Chinese liver fluke)	161	DOMAIN 14..73; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 99..161; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G8CYZ7	G8CYZ7_RAT	Engulfment and cell motility 1 splice 1 variant	Elmo1	Rattus norvegicus (Rat)	742	
G9KC61	G9KC61_MUSPF	Myosin IC		Mustela putorius furo (European domestic ferret) (Mustela furo)	265	DOMAIN 21..126; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 140..200; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
G9NCH9	G9NCH9_HYPVG	ELMO domain-containing protein	TRIVIDRAFT_164692	Hypocrea virens (strain Gv29-8 / FGSC 10586) (Gliocladium virens) (Trichoderma virens)	707	DOMAIN 257..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
G9P7T1	G9P7T1_HYPAI	ELMO domain-containing protein	TRIATDRAFT_226926	Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)	706	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0ERH4	H0ERH4_GLAL7	Putative Engulfment and cell motility protein 3	M7I_5293	Glarea lozoyensis (strain ATCC 74030 / MF5533)	464	DOMAIN 95..265; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0UZR8	H0UZR8_CAVPO	Engulfment and cell motility 2	ELMO2	Cavia porcellus (Guinea pig)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0V667	H0V667_CAVPO	Engulfment and cell motility 1	ELMO1	Cavia porcellus (Guinea pig)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0V8T5	H0V8T5_CAVPO	CRK proto-oncogene, adaptor protein	CRK	Cavia porcellus (Guinea pig)	281	DOMAIN 109..169; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 212..273; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H0VHV3	H0VHV3_CAVPO	Engulfment and cell motility 3	ELMO3	Cavia porcellus (Guinea pig)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0WFJ4	H0WFJ4_OTOGA	Engulfment and cell motility 3	ELMO3	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"; DOMAIN 541..663; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"
H0WFQ9	H0WFQ9_OTOGA	CRK like proto-oncogene, adaptor protein		Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	302	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 234..295; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H0WTK8	H0WTK8_OTOGA	CRK proto-oncogene, adaptor protein	CRK	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H0X866	H0X866_OTOGA	CRK like proto-oncogene, adaptor protein		Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H0XEF4	H0XEF4_OTOGA	Engulfment and cell motility 2	ELMO2	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0YCM7	H0YCM7_HUMAN	Engulfment and cell motility protein 2	ELMO2	Homo sapiens (Human)	441	DOMAIN 36..210; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0Z5B2	H0Z5B2_TAEGU	Engulfment and cell motility 1	ELMO1	Taeniopygia guttata (Zebra finch) (Poephila guttata)	725	DOMAIN 317..490; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H0Z5Q4	H0Z5Q4_TAEGU	Engulfment and cell motility 2	ELMO2	Taeniopygia guttata (Zebra finch) (Poephila guttata)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H1UW70	H1UW70_COLHI	ELMO/CED-12 family protein	CH063_00770 CH63R_00688	Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)	717	DOMAIN 257..442; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2LE23	H2LE23_ORYLA	Engulfment and cell motility protein 1	ELMO1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	726	DOMAIN 319..491; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2LE24	H2LE24_ORYLA	Engulfment and cell motility protein 1	ELMO1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	714	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2M1H9	H2M1H9_ORYLA	CRK proto-oncogene, adaptor protein	crk	Oryzias latipes (Japanese rice fish) (Japanese killifish)	315	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 246..307; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2M629	H2M629_ORYLA	CRK like proto-oncogene, adaptor protein	crkl	Oryzias latipes (Japanese rice fish) (Japanese killifish)	306	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 238..299; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2MLN5	H2MLN5_ORYLA	Engulfment and cell motility protein 2	LOC101156647	Oryzias latipes (Japanese rice fish) (Japanese killifish)	711	DOMAIN 307..476; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2MLQ8	H2MLQ8_ORYLA	Engulfment and cell motility protein 3	LOC101173701	Oryzias latipes (Japanese rice fish) (Japanese killifish)	569	DOMAIN 163..332; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2NR66	H2NR66_PONAB	Engulfment and cell motility 3	ELMO3	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	772	DOMAIN 359..531; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2NS47	H2NS47_PONAB	CRK proto-oncogene, adaptor protein	CRK	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2QKI4	H2QKI4_PANTR	Engulfment and cell motility 2	ELMO2	Pan troglodytes (Chimpanzee)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2QUF7	H2QUF7_PANTR	Engulfment and cell motility 1	ELMO1	Pan troglodytes (Chimpanzee)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2R472	H2R472_PANTR	CRK like proto-onco, adaptor protein (V-crk sarcoma virus CT10 oncogene homolog (Avian)-like)	CRKL	Pan troglodytes (Chimpanzee)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2RBU5	H2RBU5_PANTR	Engulfment and cell motility 3	ELMO3	Pan troglodytes (Chimpanzee)	773	DOMAIN 360..532; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2SA07	H2SA07_TAKRU	CRK like proto-oncogene, adaptor protein	crkl	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	299	DOMAIN 14..113; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 120..180; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 231..292; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2SXS8	H2SXS8_TAKRU	Engulfment and cell motility protein 2	LOC101076373	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	708	DOMAIN 304..473; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2TH19	H2TH19_TAKRU	Engulfment and cell motility 3	elmo3	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	712	DOMAIN 303..473; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2TH21	H2TH21_TAKRU	Engulfment and cell motility 3	elmo3	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	715	DOMAIN 307..477; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2TYP8	H2TYP8_TAKRU	Engulfment and cell motility protein 1	ELMO1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	740	DOMAIN 333..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2TYP9	H2TYP9_TAKRU	Engulfment and cell motility protein 1	ELMO1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	705	DOMAIN 298..470; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2U038	H2U038_TAKRU	Adapter molecule crk-like	LOC101065989	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	319	DOMAIN 13..111; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 251..312; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2XM64	H2XM64_CIOIN	Adapter molecule Crk		Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	289	DOMAIN 14..108; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 115..175; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 220..281; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2XS74	H2XS74_CIOIN	Adapter molecule Crk		Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	301	DOMAIN 14..101; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 125..185; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 230..291; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2XUL2	H2XUL2_CIOIN	Adapter molecule Crk		Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	299	DOMAIN 14..101; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 139..199; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 231..292; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2YA57	H2YA57_CIOSA	ELMO domain-containing protein		Ciona savignyi (Pacific transparent sea squirt)	364	DOMAIN 1..131; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H2ZKK7	H2ZKK7_CIOSA	CRK proto-oncogene, adaptor protein		Ciona savignyi (Pacific transparent sea squirt)	284	DOMAIN 14..101; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 128..188; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 218..279; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H2ZVG9	H2ZVG9_LATCH	Crk-like protein	LOC102364341	Latimeria chalumnae (Coelacanth)	271	DOMAIN 12..99; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 120..180; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 203..264; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3AQP9	H3AQP9_LATCH	CRK proto-oncogene, adaptor protein	CRK	Latimeria chalumnae (Coelacanth)	306	DOMAIN 13..112; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 134..194; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 237..298; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3AQQ0	H3AQQ0_LATCH	CRK proto-oncogene, adaptor protein	CRK	Latimeria chalumnae (Coelacanth)	310	DOMAIN 13..123; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 138..198; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 241..302; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3ASY6	H3ASY6_LATCH	Engulfment and cell motility 1	ELMO1	Latimeria chalumnae (Coelacanth)	732	DOMAIN 322..493; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3AWM4	H3AWM4_LATCH	Engulfment and cell motility 3	ELMO3	Latimeria chalumnae (Coelacanth)	454	DOMAIN 42..215; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"; DOMAIN 277..397; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"
H3AWM5	H3AWM5_LATCH	Engulfment and cell motility 3	ELMO3	Latimeria chalumnae (Coelacanth)	454	DOMAIN 42..215; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"; DOMAIN 277..397; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"
H3AZ30	H3AZ30_LATCH	CRK like proto-oncogene, adaptor protein	CRKL	Latimeria chalumnae (Coelacanth)	219	DOMAIN 37..97; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 151..212; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3C7N1	H3C7N1_TETNG	Engulfment and cell motility 3		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	736	DOMAIN 335..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3C9E7	H3C9E7_TETNG	CRK proto-oncogene, adaptor protein	CRK	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	322	DOMAIN 13..112; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 135..195; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 253..314; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3CKX2	H3CKX2_TETNG	V-crk avian sarcoma virus CT10 oncogene homolog-like		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	306	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 125..185; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 238..299; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3CPB5	H3CPB5_TETNG	Engulfment and cell motility 2		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	723	DOMAIN 319..488; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3CTT0	H3CTT0_TETNG	Engulfment and cell motility 3		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	709	DOMAIN 306..476; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3CTT1	H3CTT1_TETNG	Engulfment and cell motility 3		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	716	DOMAIN 315..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3D9W3	H3D9W3_TETNG	V-crk avian sarcoma virus CT10 oncogene homolog		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	304	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 131..190; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
H3DHX3	H3DHX3_TETNG	Engulfment and cell motility 2		Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	715	DOMAIN 307..476; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3DHX4	H3DHX4_TETNG	Engulfment and cell motility 1 (ced-12 homolog, C. elegans)	ELMO1	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	727	DOMAIN 322..494; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H3HBP0	H3HBP0_PHYRM	PH domain-containing protein		Phytophthora ramorum (Sudden oak death agent)	810	DOMAIN 251..355; /note="PH"; /evidence="ECO:0000259|PROSITE:PS50003"; DOMAIN 630..780; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H6C7F8	H6C7F8_EXODN	ELMO domain-containing protein	HMPREF1120_07639	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)	941	DOMAIN 470..648; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
H9EHK7	H9EHK7_CAURA	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa racemosa f. occidentalis	288	DOMAIN 1..277; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHK8	H9EHK8_CAUTA	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa taxifolia (Killer algae) (Fucus taxifolius)	293	DOMAIN 1..292; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHK9	H9EHK9_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa serrulata	318	DOMAIN 12..318; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL0	H9EHL0_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa chemnitzia var. peltata	310	DOMAIN 6..310; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL1	H9EHL1_CAURA	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa racemosa var. corynephora	295	DOMAIN 6..289; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL2	H9EHL2_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa scalpelliformis	299	DOMAIN 1..299; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL3	H9EHL3_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa sertularioides f. longipes	294	DOMAIN 1..294; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL4	H9EHL4_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa veravalensis	302	DOMAIN 6..290; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL5	H9EHL5_CAUTA	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa taxifolia (Killer algae) (Fucus taxifolius)	295	DOMAIN 1..295; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL6	H9EHL6_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa chemnitzia var. peltata	305	DOMAIN 3..305; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
H9EHL7	H9EHL7_9CHLO	Ribulose-bisphosphate carboxylase (EC 4.1.1.39)	rbcL	Caulerpa verticillata	310	DOMAIN 9..310; /note="RuBisCO_large"; /evidence="ECO:0000259|Pfam:PF00016"
